location,bedrooms,bathrooms,size_sqft,furnishing,rent_price
Jumeirah Lake Towers (JLT),1,1,822,Furnished,90000
Dubai Marina,0,1,429,Furnished,52000
Discovery Gardens,1,1,724,Furnished,41000
Jumeirah Lake Towers (JLT),2,2,1644,Furnished,206000
Al Nahda,2,2,1137,Furnished,69000
Discovery Gardens,3,4,2249,Unfurnished,99000
Jumeirah Lake Towers (JLT),0,1,578,Furnished,62000
Downtown Dubai,2,2,1132,Partly Furnished,171000
Jumeirah Village Circle (JVC),1,2,728,Furnished,62000
Business Bay,1,1,896,Furnished,86000
Jumeirah Beach Residence (JBR),2,2,1665,Furnished,253000
Dubai Marina,1,1,1016,Furnished,130000
Dubai Silicon Oasis,1,2,957,Furnished,63000
Dubai Marina,2,3,1158,Furnished,123000
Discovery Gardens,2,2,1353,Unfurnished,79000
Jumeirah Beach Residence (JBR),1,1,961,Unfurnished,119000
Discovery Gardens,3,3,2032,Furnished,147000
Discovery Gardens,1,2,1119,Partly Furnished,78000
International City,0,1,480,Unfurnished,21000
Downtown Dubai,2,3,1458,Unfurnished,155000
Downtown Dubai,2,2,1429,Furnished,198000
Jumeirah Lake Towers (JLT),2,2,1464,Furnished,135000
Jumeirah Beach Residence (JBR),4,4,4113,Furnished,496000
Palm Jumeirah,0,1,524,Unfurnished,63000
International City,0,1,426,Unfurnished,16000
Jumeirah Beach Residence (JBR),0,1,514,Unfurnished,58000
Dubai Marina,2,2,1405,Unfurnished,118000
Al Nahda,2,3,1651,Unfurnished,81000
Jumeirah Beach Residence (JBR),1,2,963,Unfurnished,125000
International City,1,1,1025,Partly Furnished,49000
Jumeirah Beach Residence (JBR),2,3,1584,Unfurnished,220000
Jumeirah Beach Residence (JBR),1,2,980,Unfurnished,96000
Jumeirah Lake Towers (JLT),0,1,425,Furnished,37000
Palm Jumeirah,1,1,873,Unfurnished,146000
International City,1,1,875,Unfurnished,36000
Downtown Dubai,2,2,1533,Unfurnished,161000
Business Bay,2,3,1537,Furnished,163000
Palm Jumeirah,1,1,901,Unfurnished,147000
Palm Jumeirah,1,2,897,Unfurnished,126000
Al Nahda,3,4,2362,Unfurnished,122000
Business Bay,2,2,1480,Unfurnished,144000
Palm Jumeirah,2,2,1169,Furnished,198000
Dubai Marina,1,1,723,Unfurnished,78000
Discovery Gardens,1,1,1047,Unfurnished,59000
Downtown Dubai,1,1,1196,Furnished,177000
Palm Jumeirah,1,1,1079,Furnished,177000
Downtown Dubai,2,3,1682,Furnished,265000
Jumeirah Lake Towers (JLT),3,3,2511,Partly Furnished,180000
Jumeirah Beach Residence (JBR),1,2,865,Partly Furnished,107000
International City,3,4,2100,Unfurnished,79000
Jumeirah Lake Towers (JLT),2,2,1355,Furnished,129000
Downtown Dubai,0,1,647,Furnished,104000
Palm Jumeirah,1,2,933,Unfurnished,104000
Business Bay,1,2,922,Unfurnished,74000
Downtown Dubai,1,2,1063,Unfurnished,116000
Palm Jumeirah,0,1,613,Furnished,110000
Dubai Sports City,2,2,1209,Unfurnished,71000
Jumeirah Village Circle (JVC),1,2,865,Furnished,61000
Al Nahda,2,2,1601,Furnished,101000
Dubai Marina,1,2,1067,Furnished,117000
Dubai Sports City,2,2,1383,Furnished,129000
Dubai Marina,1,1,1189,Unfurnished,146000
Dubai Silicon Oasis,1,1,942,Unfurnished,55000
Dubai Silicon Oasis,0,1,584,Furnished,47000
Jumeirah Lake Towers (JLT),2,2,1195,Furnished,120000
Al Nahda,2,3,1580,Unfurnished,83000
International City,1,1,735,Furnished,33000
Dubai Marina,0,1,491,Furnished,66000
Dubai Silicon Oasis,0,1,510,Unfurnished,31000
Al Nahda,1,2,979,Unfurnished,54000
Jumeirah Beach Residence (JBR),1,1,1139,Unfurnished,141000
International City,3,3,2469,Furnished,107000
Downtown Dubai,0,1,480,Furnished,90000
Dubai Sports City,4,4,3261,Furnished,256000
Discovery Gardens,4,5,4128,Unfurnished,182000
Al Nahda,2,2,1392,Furnished,83000
Business Bay,3,3,2474,Unfurnished,296000
Dubai Silicon Oasis,2,2,1537,Unfurnished,85000
Discovery Gardens,1,2,1019,Furnished,74000
Downtown Dubai,2,2,1194,Furnished,152000
Downtown Dubai,1,1,893,Unfurnished,94000
Dubai Silicon Oasis,3,4,2364,Furnished,175000
Jumeirah Village Circle (JVC),3,3,1978,Unfurnished,140000
Jumeirah Village Circle (JVC),2,2,1604,Furnished,151000
Discovery Gardens,1,2,899,Unfurnished,49000
Dubai Marina,3,4,2490,Furnished,360000
Dubai Silicon Oasis,1,2,861,Furnished,58000
Dubai Sports City,2,3,1565,Unfurnished,120000
Dubai Silicon Oasis,3,3,1781,Unfurnished,121000
Dubai Marina,0,1,541,Furnished,75000
Dubai Marina,2,2,1134,Unfurnished,128000
Jumeirah Lake Towers (JLT),0,1,406,Furnished,48000
International City,1,2,835,Unfurnished,35000
Palm Jumeirah,2,3,1615,Furnished,259000
Dubai Marina,0,1,612,Unfurnished,64000
Palm Jumeirah,1,2,1116,Furnished,216000
Business Bay,1,2,1079,Partly Furnished,109000
International City,1,1,1143,Unfurnished,41000
Discovery Gardens,2,2,1194,Furnished,66000
International City,1,2,953,Partly Furnished,36000
Al Nahda,3,4,2336,Furnished,114000
Dubai Sports City,2,3,1497,Unfurnished,122000
Jumeirah Lake Towers (JLT),4,4,3517,Unfurnished,316000
Jumeirah Village Circle (JVC),0,1,391,Furnished,30000
International City,2,3,1502,Unfurnished,60000
Al Nahda,2,2,1138,Furnished,57000
Business Bay,0,1,567,Furnished,56000
Dubai Silicon Oasis,2,3,1616,Unfurnished,100000
Al Nahda,1,1,964,Furnished,61000
International City,1,1,1006,Unfurnished,44000
Jumeirah Village Circle (JVC),0,1,536,Unfurnished,33000
Dubai Marina,2,3,1659,Unfurnished,189000
Dubai Sports City,3,4,1870,Furnished,153000
Dubai Marina,1,1,996,Furnished,99000
Discovery Gardens,2,3,1448,Unfurnished,91000
Discovery Gardens,1,1,818,Furnished,47000
Al Nahda,2,2,1571,Unfurnished,57000
Dubai Sports City,0,1,617,Unfurnished,38000
Jumeirah Beach Residence (JBR),1,2,986,Furnished,128000
Jumeirah Village Circle (JVC),1,1,1073,Unfurnished,74000
Dubai Silicon Oasis,2,2,1579,Unfurnished,99000
Jumeirah Beach Residence (JBR),1,1,1045,Unfurnished,91000
Jumeirah Village Circle (JVC),1,2,827,Unfurnished,56000
Jumeirah Lake Towers (JLT),2,2,1381,Partly Furnished,111000
Dubai Silicon Oasis,2,3,1608,Unfurnished,87000
Jumeirah Village Circle (JVC),1,1,724,Unfurnished,42000
Jumeirah Village Circle (JVC),1,1,1043,Unfurnished,80000
Dubai Sports City,0,1,637,Unfurnished,43000
Dubai Marina,0,1,576,Furnished,73000
Jumeirah Lake Towers (JLT),1,2,1098,Furnished,102000
Jumeirah Village Circle (JVC),3,4,2591,Furnished,223000
Jumeirah Lake Towers (JLT),1,2,853,Unfurnished,57000
Discovery Gardens,1,1,755,Unfurnished,42000
Business Bay,0,1,560,Unfurnished,56000
Jumeirah Lake Towers (JLT),2,2,1281,Furnished,122000
Palm Jumeirah,3,4,2387,Unfurnished,243000
Discovery Gardens,2,3,1364,Unfurnished,83000
Dubai Silicon Oasis,2,2,1672,Unfurnished,83000
Dubai Marina,4,5,3175,Unfurnished,308000
Dubai Marina,2,2,1665,Unfurnished,209000
Dubai Marina,1,2,1041,Unfurnished,84000
Dubai Marina,1,1,907,Unfurnished,95000
Jumeirah Village Circle (JVC),1,1,1013,Furnished,79000
Dubai Marina,3,3,2269,Furnished,275000
Dubai Sports City,2,3,1620,Unfurnished,91000
Dubai Sports City,0,1,389,Unfurnished,28000
Jumeirah Lake Towers (JLT),2,2,1269,Furnished,140000
Palm Jumeirah,1,2,1040,Furnished,200000
Al Nahda,1,1,917,Furnished,65000
Downtown Dubai,0,1,457,Unfurnished,69000
International City,1,1,967,Furnished,51000
Al Nahda,1,1,1044,Furnished,70000
Al Nahda,0,1,562,Furnished,40000
Jumeirah Lake Towers (JLT),3,3,2425,Unfurnished,206000
Discovery Gardens,2,3,1198,Unfurnished,55000
Dubai Marina,1,1,771,Unfurnished,77000
Jumeirah Village Circle (JVC),0,1,526,Unfurnished,39000
Jumeirah Lake Towers (JLT),1,1,1063,Unfurnished,84000
Discovery Gardens,4,5,2870,Furnished,207000
Jumeirah Village Circle (JVC),1,2,1003,Furnished,92000
Dubai Sports City,2,3,1113,Unfurnished,56000
Downtown Dubai,1,1,1191,Unfurnished,153000
Business Bay,1,1,918,Unfurnished,77000
International City,2,3,1230,Unfurnished,52000
Business Bay,3,4,2334,Furnished,268000
Jumeirah Lake Towers (JLT),0,1,557,Unfurnished,41000
Dubai Marina,0,1,381,Furnished,44000
International City,0,1,561,Unfurnished,20000
Al Nahda,2,2,1333,Unfurnished,71000
Jumeirah Beach Residence (JBR),3,4,2148,Furnished,298000
Palm Jumeirah,2,2,1240,Furnished,184000
Discovery Gardens,1,1,843,Unfurnished,57000
Dubai Silicon Oasis,1,1,969,Furnished,65000
Jumeirah Beach Residence (JBR),1,2,814,Unfurnished,78000
Dubai Marina,1,1,891,Furnished,116000
Jumeirah Lake Towers (JLT),2,2,1402,Unfurnished,106000
Al Nahda,1,2,712,Unfurnished,31000
Jumeirah Lake Towers (JLT),0,1,425,Unfurnished,42000
Dubai Marina,3,4,1854,Unfurnished,179000
Business Bay,0,1,608,Unfurnished,52000
International City,4,4,4158,Furnished,175000
Jumeirah Beach Residence (JBR),3,3,2036,Unfurnished,253000
Jumeirah Village Circle (JVC),2,2,1335,Unfurnished,116000
Al Nahda,1,1,1160,Unfurnished,51000
International City,1,2,1189,Unfurnished,51000
International City,2,3,1124,Furnished,47000
Discovery Gardens,2,2,1653,Unfurnished,80000
Discovery Gardens,1,2,1052,Partly Furnished,69000
Al Nahda,2,2,1649,Furnished,120000
Downtown Dubai,0,1,589,Furnished,76000
International City,1,2,997,Furnished,43000
Discovery Gardens,2,2,1408,Unfurnished,91000
Dubai Sports City,2,2,1359,Furnished,101000
Business Bay,1,2,1177,Unfurnished,112000
Downtown Dubai,0,1,648,Unfurnished,79000
Palm Jumeirah,1,2,782,Unfurnished,80000
Business Bay,2,2,1506,Furnished,207000
Dubai Sports City,1,2,958,Furnished,82000
Business Bay,0,1,514,Unfurnished,47000
Jumeirah Lake Towers (JLT),0,1,530,Furnished,58000
Jumeirah Lake Towers (JLT),1,2,1105,Furnished,105000
Downtown Dubai,3,3,2298,Furnished,380000
Palm Jumeirah,1,2,1185,Furnished,152000
Palm Jumeirah,1,1,759,Unfurnished,110000
International City,0,1,383,Furnished,18000
Discovery Gardens,1,2,810,Unfurnished,50000
Jumeirah Village Circle (JVC),4,4,3118,Partly Furnished,273000
Dubai Marina,3,4,2462,Unfurnished,252000
Palm Jumeirah,2,2,1197,Unfurnished,193000
Dubai Sports City,1,1,1094,Furnished,103000
Discovery Gardens,0,1,630,Unfurnished,32000
Downtown Dubai,1,1,893,Unfurnished,94000
Dubai Marina,1,2,1161,Partly Furnished,136000
Dubai Sports City,1,2,1166,Furnished,79000
Al Nahda,1,1,754,Unfurnished,33000
Jumeirah Beach Residence (JBR),1,1,786,Unfurnished,93000
Jumeirah Village Circle (JVC),2,3,1405,Partly Furnished,89000
Jumeirah Village Circle (JVC),1,2,1052,Unfurnished,72000
Dubai Silicon Oasis,0,1,423,Unfurnished,22000
Jumeirah Lake Towers (JLT),3,4,2438,Unfurnished,194000
Palm Jumeirah,2,2,1313,Furnished,276000
Jumeirah Lake Towers (JLT),2,2,1523,Furnished,164000
Business Bay,2,2,1644,Unfurnished,156000
Dubai Sports City,2,3,1385,Furnished,118000
Jumeirah Lake Towers (JLT),1,2,887,Unfurnished,67000
International City,1,2,1027,Unfurnished,42000
International City,0,1,362,Partly Furnished,17000
Dubai Marina,1,2,760,Partly Furnished,82000
Downtown Dubai,0,1,416,Furnished,71000
Palm Jumeirah,1,1,1033,Furnished,155000
Palm Jumeirah,1,1,1108,Unfurnished,151000
International City,2,2,1334,Furnished,71000
Downtown Dubai,1,1,746,Unfurnished,82000
Discovery Gardens,1,1,705,Unfurnished,42000
Dubai Marina,2,3,1546,Unfurnished,178000
Business Bay,2,2,1491,Unfurnished,115000
Dubai Silicon Oasis,0,1,535,Furnished,31000
Discovery Gardens,2,3,1119,Unfurnished,50000
Jumeirah Village Circle (JVC),0,1,442,Furnished,36000
Dubai Silicon Oasis,0,1,459,Furnished,30000
International City,1,2,1079,Furnished,53000
Dubai Silicon Oasis,0,1,521,Furnished,43000
Jumeirah Village Circle (JVC),1,2,939,Unfurnished,58000
Business Bay,0,1,453,Furnished,46000
Jumeirah Beach Residence (JBR),1,1,897,Furnished,119000
Al Nahda,2,3,1417,Furnished,89000
Dubai Marina,1,2,1113,Furnished,132000
Jumeirah Lake Towers (JLT),2,2,1636,Unfurnished,108000
Jumeirah Village Circle (JVC),1,2,820,Furnished,57000
Dubai Marina,1,1,964,Furnished,136000
Business Bay,1,1,919,Unfurnished,83000
Discovery Gardens,2,3,1607,Unfurnished,89000
Discovery Gardens,2,2,1256,Unfurnished,71000
International City,2,2,1586,Furnished,64000
Dubai Silicon Oasis,1,1,1178,Unfurnished,72000
Al Nahda,0,1,365,Unfurnished,13000
Discovery Gardens,1,2,1011,Unfurnished,48000
Business Bay,2,3,1330,Partly Furnished,130000
Downtown Dubai,3,3,2010,Unfurnished,201000
Jumeirah Beach Residence (JBR),0,1,397,Furnished,60000
Jumeirah Village Circle (JVC),2,3,1661,Furnished,167000
International City,1,2,953,Unfurnished,42000
Downtown Dubai,1,1,1127,Partly Furnished,124000
Downtown Dubai,2,3,1186,Partly Furnished,173000
Jumeirah Beach Residence (JBR),0,1,490,Unfurnished,49000
Business Bay,2,3,1279,Unfurnished,141000
Jumeirah Beach Residence (JBR),1,1,927,Unfurnished,130000
Palm Jumeirah,1,1,878,Furnished,165000
Business Bay,2,3,1442,Unfurnished,140000
Business Bay,1,2,785,Furnished,107000
Jumeirah Lake Towers (JLT),1,1,1078,Unfurnished,72000
Dubai Marina,2,2,1236,Furnished,152000
Downtown Dubai,0,1,570,Furnished,78000
Dubai Silicon Oasis,1,2,799,Furnished,63000
Dubai Sports City,1,1,916,Furnished,73000
Jumeirah Village Circle (JVC),1,1,777,Furnished,71000
Palm Jumeirah,1,1,878,Furnished,155000
Palm Jumeirah,0,1,458,Furnished,71000
Jumeirah Village Circle (JVC),3,3,2159,Furnished,182000
Al Nahda,1,1,719,Unfurnished,31000
Dubai Sports City,3,3,2268,Furnished,193000
Jumeirah Beach Residence (JBR),2,3,1449,Unfurnished,165000
Al Nahda,3,3,1767,Unfurnished,85000
Al Nahda,2,3,1161,Furnished,67000
Discovery Gardens,2,3,1630,Furnished,110000
Jumeirah Lake Towers (JLT),0,1,430,Furnished,51000
Dubai Marina,0,1,498,Furnished,58000
Jumeirah Village Circle (JVC),0,1,375,Partly Furnished,30000
Dubai Sports City,3,4,2394,Unfurnished,191000
Downtown Dubai,1,1,1101,Furnished,172000
Jumeirah Village Circle (JVC),2,2,1152,Furnished,112000
Downtown Dubai,1,2,893,Unfurnished,122000
Dubai Silicon Oasis,3,3,2174,Partly Furnished,125000
Dubai Marina,2,3,1531,Partly Furnished,157000
Jumeirah Lake Towers (JLT),2,3,1469,Furnished,155000
International City,2,3,1104,Furnished,45000
Jumeirah Village Circle (JVC),0,1,626,Unfurnished,46000
International City,3,4,1756,Unfurnished,83000
Jumeirah Village Circle (JVC),2,3,1450,Unfurnished,99000
Dubai Sports City,1,1,1064,Furnished,79000
Discovery Gardens,3,3,1967,Partly Furnished,108000
Jumeirah Village Circle (JVC),1,2,999,Furnished,106000
Business Bay,3,4,2177,Furnished,301000
Dubai Marina,4,5,3891,Furnished,603000
Jumeirah Village Circle (JVC),1,1,887,Partly Furnished,63000
Downtown Dubai,2,3,1341,Furnished,207000
Jumeirah Lake Towers (JLT),1,2,768,Unfurnished,56000
Palm Jumeirah,1,2,1060,Unfurnished,171000
International City,1,2,741,Furnished,39000
Dubai Silicon Oasis,2,2,1360,Unfurnished,74000
Dubai Sports City,0,1,624,Unfurnished,35000
Jumeirah Lake Towers (JLT),1,1,806,Unfurnished,54000
Dubai Marina,1,2,727,Furnished,102000
Jumeirah Village Circle (JVC),1,1,1006,Furnished,62000
Dubai Marina,1,1,817,Unfurnished,91000
Jumeirah Beach Residence (JBR),4,4,4104,Unfurnished,588000
Jumeirah Village Circle (JVC),1,1,879,Furnished,69000
International City,2,3,1535,Unfurnished,62000
Jumeirah Village Circle (JVC),3,4,2097,Furnished,174000
Al Nahda,1,1,1081,Furnished,59000
Dubai Marina,2,2,1496,Unfurnished,169000
Jumeirah Village Circle (JVC),1,1,1038,Unfurnished,80000
Business Bay,1,2,732,Unfurnished,80000
Dubai Sports City,1,1,769,Unfurnished,41000
Jumeirah Lake Towers (JLT),0,1,433,Furnished,46000
Jumeirah Beach Residence (JBR),1,2,975,Unfurnished,114000
Jumeirah Lake Towers (JLT),1,1,1041,Furnished,116000
Palm Jumeirah,3,4,2336,Unfurnished,267000
Dubai Marina,0,1,473,Furnished,67000
Al Nahda,2,3,1311,Unfurnished,73000
Discovery Gardens,1,1,714,Unfurnished,33000
Dubai Marina,2,2,1622,Partly Furnished,214000
Al Nahda,1,2,768,Furnished,38000
Al Nahda,2,3,1659,Partly Furnished,66000
Jumeirah Beach Residence (JBR),1,2,1056,Furnished,133000
Jumeirah Lake Towers (JLT),2,3,1103,Furnished,103000
Jumeirah Lake Towers (JLT),1,2,954,Partly Furnished,97000
Dubai Sports City,3,3,2025,Furnished,175000
Discovery Gardens,1,1,848,Furnished,59000
Palm Jumeirah,0,1,631,Unfurnished,96000
Jumeirah Beach Residence (JBR),1,1,993,Furnished,154000
Dubai Marina,2,2,1436,Furnished,169000
Palm Jumeirah,2,3,1104,Unfurnished,142000
Business Bay,2,2,1405,Unfurnished,160000
Jumeirah Beach Residence (JBR),2,2,1384,Unfurnished,154000
Palm Jumeirah,1,2,1085,Furnished,178000
International City,3,3,2203,Unfurnished,84000
Palm Jumeirah,3,3,1880,Unfurnished,247000
Discovery Gardens,1,1,956,Unfurnished,54000
Dubai Marina,2,3,1124,Unfurnished,99000
Palm Jumeirah,1,1,765,Furnished,146000
Discovery Gardens,2,3,1141,Unfurnished,63000
Dubai Silicon Oasis,1,1,1134,Unfurnished,75000
Dubai Silicon Oasis,0,1,504,Furnished,42000
International City,0,1,356,Furnished,17000
International City,1,1,953,Furnished,46000
Dubai Silicon Oasis,1,1,825,Unfurnished,49000
Discovery Gardens,0,1,608,Unfurnished,31000
International City,1,2,1049,Unfurnished,41000
Discovery Gardens,1,1,1009,Furnished,67000
Discovery Gardens,1,1,968,Partly Furnished,51000
International City,1,1,1011,Partly Furnished,46000
Jumeirah Lake Towers (JLT),3,3,2015,Unfurnished,187000
Discovery Gardens,2,3,1543,Unfurnished,84000
Jumeirah Lake Towers (JLT),1,1,1041,Furnished,86000
Palm Jumeirah,2,3,1105,Unfurnished,130000
Dubai Silicon Oasis,1,1,743,Furnished,58000
Dubai Marina,1,2,963,Furnished,102000
Dubai Silicon Oasis,3,4,1965,Unfurnished,140000
Dubai Silicon Oasis,1,2,1173,Unfurnished,77000
Discovery Gardens,2,2,1129,Furnished,86000
Business Bay,1,2,1184,Furnished,157000
Business Bay,3,4,2088,Furnished,280000
International City,0,1,524,Furnished,21000
Downtown Dubai,2,3,1442,Unfurnished,137000
Jumeirah Lake Towers (JLT),1,2,975,Unfurnished,71000
Al Nahda,2,2,1532,Unfurnished,79000
Dubai Marina,1,1,950,Furnished,138000
Business Bay,1,2,1098,Unfurnished,107000
Dubai Silicon Oasis,1,1,870,Partly Furnished,50000
Dubai Silicon Oasis,2,2,1695,Unfurnished,111000
Downtown Dubai,1,2,968,Furnished,177000
Downtown Dubai,0,1,426,Furnished,59000
Jumeirah Lake Towers (JLT),3,3,1757,Furnished,183000
Business Bay,1,1,774,Furnished,95000
Dubai Marina,2,2,1263,Unfurnished,124000
Discovery Gardens,1,1,1088,Unfurnished,46000
Dubai Marina,4,4,3588,Furnished,529000
International City,2,2,1525,Unfurnished,67000
International City,3,4,2219,Partly Furnished,93000
Al Nahda,2,3,1509,Furnished,98000
Jumeirah Village Circle (JVC),1,1,754,Unfurnished,41000
Dubai Silicon Oasis,1,2,1130,Furnished,66000
International City,1,2,1022,Unfurnished,39000
Al Nahda,2,3,1126,Unfurnished,55000
Dubai Sports City,1,2,961,Furnished,70000
Downtown Dubai,1,2,848,Unfurnished,89000
Dubai Silicon Oasis,0,1,644,Furnished,43000
International City,1,1,1005,Unfurnished,35000
Discovery Gardens,3,3,2043,Unfurnished,115000
Jumeirah Beach Residence (JBR),3,3,1761,Unfurnished,186000
Jumeirah Lake Towers (JLT),1,2,1130,Unfurnished,106000
International City,2,2,1436,Unfurnished,53000
Dubai Silicon Oasis,2,2,1165,Furnished,75000
Al Nahda,3,3,2125,Unfurnished,83000
Palm Jumeirah,1,2,1149,Unfurnished,153000
Downtown Dubai,2,2,1128,Partly Furnished,125000
Dubai Silicon Oasis,1,2,875,Unfurnished,54000
Dubai Marina,3,4,1994,Furnished,298000
Jumeirah Lake Towers (JLT),1,1,1086,Unfurnished,87000
Dubai Sports City,0,1,440,Partly Furnished,30000
Dubai Marina,1,1,1032,Furnished,129000
Al Nahda,0,1,457,Unfurnished,22000
Discovery Gardens,1,1,831,Unfurnished,50000
Palm Jumeirah,1,2,923,Unfurnished,127000
Downtown Dubai,4,5,3718,Unfurnished,501000
Jumeirah Beach Residence (JBR),2,3,1551,Furnished,235000
Dubai Sports City,2,2,1151,Furnished,107000
Dubai Silicon Oasis,4,5,3508,Furnished,244000
Dubai Silicon Oasis,1,1,929,Unfurnished,48000
Al Nahda,0,1,385,Unfurnished,21000
Al Nahda,0,1,399,Furnished,21000
International City,1,2,1012,Partly Furnished,39000
Palm Jumeirah,1,1,935,Unfurnished,141000
Jumeirah Lake Towers (JLT),2,2,1584,Furnished,165000
Jumeirah Lake Towers (JLT),1,2,871,Partly Furnished,92000
Business Bay,1,2,1082,Unfurnished,120000
Jumeirah Village Circle (JVC),0,1,576,Furnished,55000
Jumeirah Village Circle (JVC),1,2,956,Unfurnished,74000
Jumeirah Lake Towers (JLT),0,1,489,Furnished,54000
Discovery Gardens,2,3,1233,Furnished,73000
International City,2,3,1246,Partly Furnished,54000
Downtown Dubai,0,1,558,Furnished,67000
Discovery Gardens,0,1,399,Furnished,21000
Discovery Gardens,1,1,836,Furnished,51000
Jumeirah Lake Towers (JLT),1,2,865,Furnished,101000
Dubai Marina,0,1,550,Unfurnished,51000
Jumeirah Lake Towers (JLT),2,3,1333,Partly Furnished,93000
Dubai Marina,2,3,1683,Unfurnished,174000
Al Nahda,2,2,1678,Partly Furnished,84000
Discovery Gardens,2,2,1345,Unfurnished,75000
Jumeirah Village Circle (JVC),1,2,715,Unfurnished,37000
Business Bay,2,2,1377,Unfurnished,117000
Business Bay,1,2,1019,Furnished,156000
Dubai Sports City,1,1,762,Unfurnished,50000
Discovery Gardens,1,1,884,Partly Furnished,59000
International City,0,1,420,Furnished,27000
Palm Jumeirah,1,1,1064,Unfurnished,134000
Jumeirah Lake Towers (JLT),2,3,1343,Furnished,155000
Dubai Marina,1,1,1032,Unfurnished,113000
International City,2,3,1387,Unfurnished,52000
Discovery Gardens,1,1,988,Furnished,71000
Palm Jumeirah,2,3,1424,Unfurnished,203000
Jumeirah Lake Towers (JLT),1,1,762,Partly Furnished,58000
Business Bay,4,4,2783,Furnished,415000
Discovery Gardens,2,3,1639,Furnished,116000
Dubai Sports City,1,2,944,Furnished,77000
Discovery Gardens,3,4,2355,Partly Furnished,117000
Jumeirah Village Circle (JVC),0,1,507,Unfurnished,37000
Palm Jumeirah,1,1,714,Unfurnished,94000
International City,2,2,1540,Partly Furnished,58000
Dubai Sports City,4,4,4083,Furnished,338000
Dubai Marina,1,1,1143,Unfurnished,101000
Business Bay,2,2,1339,Furnished,175000
Al Nahda,0,1,465,Unfurnished,19000
Jumeirah Village Circle (JVC),0,1,383,Partly Furnished,28000
Discovery Gardens,2,2,1475,Unfurnished,89000
Jumeirah Lake Towers (JLT),2,3,1592,Furnished,195000
Palm Jumeirah,0,1,377,Partly Furnished,56000
Discovery Gardens,2,2,1174,Partly Furnished,83000
Dubai Sports City,2,2,1453,Unfurnished,114000
Dubai Sports City,2,3,1522,Unfurnished,121000
Discovery Gardens,2,3,1593,Furnished,89000
Al Nahda,2,2,1141,Unfurnished,69000
Dubai Marina,0,1,538,Unfurnished,52000
Discovery Gardens,1,2,1110,Unfurnished,61000
Discovery Gardens,2,3,1679,Furnished,133000
Jumeirah Village Circle (JVC),3,3,1966,Furnished,162000
Al Nahda,1,2,793,Furnished,58000
Jumeirah Lake Towers (JLT),2,2,1389,Unfurnished,118000
Downtown Dubai,2,2,1505,Unfurnished,198000
Jumeirah Lake Towers (JLT),2,3,1319,Unfurnished,106000
Business Bay,3,4,1888,Furnished,178000
Palm Jumeirah,2,2,1401,Unfurnished,159000
Jumeirah Beach Residence (JBR),4,5,3600,Unfurnished,462000
Jumeirah Lake Towers (JLT),1,2,1077,Unfurnished,99000
Dubai Silicon Oasis,1,1,845,Unfurnished,50000
Jumeirah Beach Residence (JBR),0,1,490,Unfurnished,67000
Jumeirah Beach Residence (JBR),3,3,1846,Furnished,209000
Palm Jumeirah,1,1,1138,Partly Furnished,181000
Palm Jumeirah,1,2,933,Unfurnished,123000
Dubai Marina,2,3,1180,Unfurnished,129000
Business Bay,1,2,987,Unfurnished,117000
Dubai Marina,1,2,1146,Furnished,126000
Al Nahda,4,5,3851,Furnished,228000
Al Nahda,1,2,722,Partly Furnished,34000
Dubai Sports City,1,1,921,Furnished,67000
Al Nahda,1,2,955,Furnished,51000
Downtown Dubai,0,1,644,Furnished,83000
Discovery Gardens,0,1,543,Furnished,38000
Jumeirah Lake Towers (JLT),4,5,3707,Furnished,342000
International City,0,1,433,Furnished,18000
Palm Jumeirah,1,2,882,Furnished,129000
International City,3,4,2238,Furnished,131000
Jumeirah Village Circle (JVC),1,1,993,Unfurnished,67000
